stop_id,stop_name,route_name,latitude,longitude
IDFM:35926,Porte de l'Essonne,T7,48.71448743246356,2.371672327475938
IDFM:462937,Porte de l'Essonne,T7,48.71446965907271,2.371713317831807
IDFM:29901,Porte de Rungis,T7,48.752527714710325,2.3553000637375106
IDFM:35934,Porte de Rungis,T7,48.752617211452076,2.355217345676027
IDFM:35938,Robert Schuman (Parc Silic Centre),T7,48.746595768446504,2.3527755868234195
IDFM:35943,Robert Schuman (Parc Silic Centre),T7,48.746632333280374,2.352883938486683
IDFM:35935,Saarinen,T7,48.75019355837689,2.354444784134944
IDFM:35939,Saarinen,T7,48.75021995135073,2.3543356455001314
IDFM:29903,Villejuif - Louis Aragon,T7,48.78729894568862,2.367011615613775
IDFM:35946,Villejuif - Louis Aragon,T7,48.7872892311756,2.366875621605191
IDFM:42105,Blumenthal,T8,48.94784272812051,2.339143963475557
IDFM:42116,Blumenthal,T8,48.947761723568384,2.33913133956827
IDFM:42132,César,T8,48.94956130812369,2.342590162100173
IDFM:42133,César,T8,48.94958753577555,2.3424532936156943
IDFM:42117,Delaunay - Belleville,T8,48.94558583371818,2.347405183595505
IDFM:42125,Delaunay - Belleville,T8,48.94559400828969,2.3472549019997713
IDFM:42101,Épinay - Orgemont,T8,48.95541719963809,2.2953781736331234
IDFM:42109,Épinay - Orgemont,T8,48.9554620795775,2.2953639101802024
IDFM:42102,Épinay-sur-Seine - Gare,T8,48.95584187674177,2.301872390098702
IDFM:42112,Épinay-sur-Seine - Gare,T8,48.95573389275546,2.3018601844901805
IDFM:42111,Gilbert Bonnemaison,T8,48.95536329374528,2.3077369246178736
IDFM:42113,Gilbert Bonnemaison,T8,48.95540935753423,2.3079274852128253
IDFM:42128,Jean Vilar,T8,48.95274990486579,2.3435329780932856
IDFM:42131,Jean Vilar,T8,48.95274915719777,2.343396442304727
IDFM:42106,Lacépède,T8,48.95588823426514,2.3114442040809027
IDFM:42115,Lacépède,T8,48.95594265700801,2.3115254158835534
IDFM:42110,Les Béatus,T8,48.951756707991194,2.320224007226486
IDFM:42114,Les Béatus,T8,48.95143910339942,2.321306841575554
IDFM:42103,Les Mobiles,T8,48.95014603352277,2.3280277652566626
